Comments,Type,ID,X,Y,SwitchID,Group
Deku Mask,item,718,575,163,0,1
Goron Mask,item,719,573,221,0,1
Zora Mask,item,720,575,278,0,1
Fierce Deity's Mask,item,721,575,330,0,1
Mask of Truth,item,740,570,385,0,1
Postman's Hat,item,742,285,160,0,1
All-Night Mask,item,723,345,160,0,1
Blast Mask,item,724,400,160,0,1
Stone Mask,item,744,457,160,0,1
Great Fairy Mask,item,735,515,160,0,1
Keaton Mask,item,738,285,215,0,1
Bremen Mask,item,725,345,215,0,1
Bunny Hood,item,726,400,215,0,1
Don Gero's Mask,item,731,457,215,0,1
Mask of Scents,item,739,515,215,0,1
Romani's Mask,item,743,285,275,0,1
Circus Leader's Mask,item,728,345,275,0,1
Kafei's Mask,item,736,400,275,0,1
Couple's Mask,item,729,457,275,0,1
Doggie Mask,item,730,515,275,0,1
Kamaro's Mask,item,737,285,328,0,1
Gibdo Mask,item,734,345,328,0,1
Garo's Mask,item,732,400,328,0,1
Captain's Hat,item,727,457,328,0,1
Giant's Mask,item,733,515,328,0,1
Skull Mask,item,746,285,385,0,1
Spooky Mask,item,747,345,385,0,1
Gerudo Mask,item,748,400,385,0,1
Moon's Mask,item,741,457,385,0,1
Sun's Mask,item,745,515,385,0,1
